Log_Date,Departure_Count,Departure_Mode_and_Count
79,2568,"(80, 514)"
80,2143,"(81, 548)"
81,1784,"(82, 453)"
82,2821,"(83, 670)"
83,2898,"(84, 713)"
84,2903,"(85, 652)"
85,2934,"(86, 709)"
86,2898,"(87, 571)"
87,2556,"(88, 531)"
88,1997,"(89, 472)"
89,3551,"(90, 847)"
90,3497,"(91, 798)"
91,3234,"(92, 769)"
92,3276,"(93, 780)"
93,3042,"(94, 596)"
94,2865,"(95, 594)"
95,2190,"(96, 549)"
96,3417,"(97, 816)"
97,3664,"(98, 765)"
98,2224,"(99, 570)"
99,2263,"(100, 632)"
100,3335,"(101, 711)"
101,2713,"(102, 597)"
102,1819,"(103, 516)"
103,3298,"(104, 790)"
104,3261,"(105, 699)"
105,3024,"(106, 673)"
106,3091,"(107, 694)"
107,3134,"(108, 649)"
108,2605,"(109, 560)"
109,1913,"(110, 528)"
110,3679,"(111, 910)"
111,3231,"(112, 706)"
112,3173,"(113, 735)"
113,3073,"(114, 699)"
114,2935,"(115, 590)"
115,2126,"(116, 477)"
116,1828,"(117, 506)"
117,3141,"(118, 747)"
118,3187,"(119, 724)"
119,2918,"(120, 691)"
120,3051,"(121, 695)"
121,3013,"(122, 657)"
122,2154,"(123, 479)"
123,1758,"(124, 553)"
124,3071,"(125, 773)"
125,3306,"(126, 786)"
126,3313,"(127, 749)"
127,2867,"(128, 708)"
128,2961,"(129, 643)"
129,2444,"(130, 514)"
130,1696,"(131, 521)"
131,3337,"(132, 800)"
132,3255,"(133, 783)"
133,3223,"(134, 630)"
134,3135,"(135, 745)"
135,2930,"(136, 551)"
136,2513,"(137, 544)"
137,1789,"(138, 514)"
138,2843,"(139, 724)"
139,3337,"(140, 765)"
140,3333,"(141, 700)"
141,2975,"(142, 712)"
142,2978,"(143, 549)"
143,2352,"(144, 474)"
144,2004,"(145, 521)"
145,3172,"(146, 717)"
146,3252,"(147, 693)"
147,3052,"(148, 672)"
148,2978,"(149, 664)"
149,3096,"(150, 597)"
150,2337,"(151, 464)"
151,1808,"(152, 517)"
152,3302,"(153, 757)"
153,3195,"(154, 787)"
154,3218,"(155, 667)"
155,2983,"(156, 688)"
156,3206,"(157, 638)"
157,2506,"(159, 454)"
158,1994,"(159, 520)"
159,3433,"(160, 751)"
160,3236,"(161, 731)"
161,3170,"(162, 658)"
162,3111,"(163, 630)"
163,3160,"(164, 612)"
164,2405,"(165, 474)"
165,1776,"(166, 439)"
166,3476,"(167, 761)"
167,3286,"(168, 695)"
168,3060,"(169, 619)"
169,2900,"(170, 601)"
170,2997,"(171, 598)"
171,2675,"(172, 565)"
172,2095,"(173, 536)"
173,2145,"(174, 577)"
174,3248,"(175, 793)"
175,3339,"(176, 784)"
176,3356,"(177, 812)"
177,3316,"(178, 702)"
178,2610,"(180, 500)"
179,2055,"(180, 584)"
180,3441,"(181, 790)"
181,3220,"(182, 784)"
182,3404,"(183, 737)"
183,3325,"(184, 782)"
184,3436,"(185, 650)"
185,2797,"(186, 584)"
186,2214,"(187, 539)"
187,3809,"(188, 800)"
188,3697,"(189, 866)"
189,3595,"(190, 832)"
190,3152,"(191, 748)"
191,3290,"(192, 672)"
192,2485,"(193, 496)"
193,1854,"(194, 400)"
194,1574,"(195, 377)"
195,1620,"(196, 488)"
196,3438,"(197, 813)"
197,3503,"(198, 946)"
198,3533,"(199, 792)"
199,2820,"(200, 698)"
200,2096,"(201, 646)"
201,3642,"(202, 976)"
202,3610,"(203, 890)"
203,3396,"(204, 846)"
204,3342,"(205, 918)"
205,3515,"(206, 754)"
206,2423,"(207, 604)"
207,2011,"(208, 617)"
208,3777,"(209, 926)"
209,3512,"(210, 876)"
210,3688,"(211, 910)"
211,3427,"(212, 836)"
212,3419,"(213, 799)"
213,2487,"(214, 589)"
214,2019,"(215, 596)"
215,3634,"(216, 871)"
216,3706,"(217, 1025)"
217,3921,"(218, 969)"
218,3781,"(219, 932)"
219,3769,"(220, 797)"
220,3041,"(221, 706)"
221,2292,"(222, 648)"
222,4335,"(223, 1168)"
223,4162,"(224, 1076)"
224,4133,"(225, 1039)"
225,4258,"(226, 1172)"
226,3923,"(227, 874)"
227,3139,"(228, 711)"
228,2455,"(229, 644)"
229,3997,"(230, 1016)"
230,4114,"(231, 1067)"
231,3921,"(232, 1038)"
232,4163,"(233, 1087)"
233,4340,"(234, 827)"
234,2743,"(235, 624)"
235,2658,"(236, 733)"
236,4966,"(237, 1095)"
237,4664,"(238, 1167)"
238,4468,"(239, 1088)"
239,4583,"(240, 1094)"
240,4386,"(241, 1015)"
241,3736,"(242, 993)"
242,2843,"(243, 842)"
243,4404,"(244, 866)"
244,3185,"(245, 847)"
245,4954,"(246, 1214)"
246,4856,"(247, 1253)"
247,4817,"(248, 1117)"
248,4018,"(249, 868)"
249,3124,"(250, 838)"
250,5078,"(251, 1175)"
251,5507,"(252, 1259)"
252,3845,"(253, 907)"
253,5225,"(254, 1264)"
254,4874,"(255, 1009)"
255,3910,"(256, 816)"
256,2990,"(257, 738)"
257,4870,"(258, 1176)"
258,4672,"(259, 1204)"
259,4596,"(260, 899)"
260,4218,"(261, 1021)"
261,2986,"(262, 825)"
262,3151,"(264, 741)"
263,2767,"(264, 894)"
264,4773,"(265, 1282)"
265,4589,"(266, 1249)"
266,3883,"(267, 949)"
267,3485,"(268, 869)"
268,3811,"(269, 853)"
269,3138,"(270, 800)"
270,2538,"(271, 811)"
271,4702,"(272, 1191)"
272,4569,"(273, 1313)"
273,4689,"(274, 1282)"
274,4304,"(275, 1162)"
275,3912,"(276, 994)"
276,2878,"(277, 858)"
277,2660,"(278, 872)"
278,4808,"(279, 1298)"
279,4836,"(280, 1318)"
280,4937,"(281, 1341)"
281,4756,"(282, 1239)"
282,4322,"(283, 1090)"
283,3438,"(284, 888)"
284,2714,"(285, 853)"
285,4395,"(286, 1289)"
286,4126,"(287, 1171)"
287,4245,"(288, 1177)"
288,4199,"(289, 1298)"
289,4410,"(290, 1007)"
290,3356,"(291, 875)"
291,2432,"(292, 819)"
292,4934,"(293, 1350)"
293,4861,"(294, 1350)"
294,4661,"(295, 1239)"
295,4580,"(296, 1293)"
296,4421,"(297, 1072)"
297,3759,"(298, 1008)"
298,2897,"(299, 886)"
299,4787,"(300, 1286)"
300,4830,"(301, 1270)"
301,5024,"(302, 1282)"
302,4809,"(303, 1320)"
303,4602,"(304, 1061)"
304,3782,"(305, 864)"
305,3071,"(306, 890)"
306,5267,"(307, 1498)"
307,5766,"(308, 1356)"
308,5206,"(309, 1213)"
309,5284,"(310, 1359)"
310,5076,"(311, 1103)"
311,4043,"(312, 850)"
312,3234,"(313, 939)"
313,5644,"(314, 1477)"
314,5354,"(315, 1625)"
315,5498,"(316, 1520)"
316,5120,"(317, 1251)"
317,5199,"(318, 1151)"
318,4237,"(319, 931)"
319,3303,"(320, 851)"
320,5738,"(321, 1383)"
321,5701,"(322, 1300)"
322,5555,"(323, 1077)"
323,5508,"(324, 1217)"
324,5278,"(325, 1081)"
325,4191,"(326, 994)"
326,3302,"(327, 857)"
327,4915,"(328, 1029)"
328,3554,"(329, 977)"
329,5258,"(330, 1236)"
330,4917,"(331, 1312)"
331,5030,"(332, 1132)"
332,4283,"(333, 950)"
333,3336,"(334, 897)"
334,5437,"(335, 1324)"
335,4995,"(336, 1193)"
336,5073,"(337, 1262)"
337,3877,"(338, 1156)"
338,5101,"(339, 1244)"
339,4020,"(340, 954)"
340,3123,"(341, 970)"
341,5162,"(342, 1232)"
342,5359,"(343, 1196)"
343,5559,"(344, 1312)"
344,5260,"(345, 1286)"
345,4968,"(346, 908)"
346,4195,"(347, 854)"
347,3531,"(348, 889)"
348,5652,"(349, 1254)"
349,5776,"(350, 1356)"
350,5602,"(351, 1284)"
351,5396,"(352, 1227)"
352,5289,"(353, 994)"
353,4524,"(354, 927)"
354,3434,"(355, 924)"
355,5431,"(356, 1243)"
356,5573,"(357, 1332)"
357,5418,"(358, 1326)"
358,4746,"(359, 1088)"
359,4850,"(360, 978)"
360,4437,"(361, 880)"
361,3516,"(362, 850)"
362,4323,"(363, 956)"
363,4074,"(364, 796)"
364,4064,"(365, 657)"
365,3366,"(1, 706)"
