Log_Date,From,To,Sales
1397/01/01,49,1,0
1397/01/01,49,3,1
1397/01/01,49,5,2
1397/01/01,49,6,2
1397/01/01,49,10,7
1397/01/01,49,11,9
1397/01/01,49,15,6
1397/01/01,49,16,2
1397/01/01,49,19,1
1397/01/01,49,22,1
1397/01/01,49,24,3
1397/01/01,49,30,8
1397/01/01,49,37,3
1397/01/01,49,39,0
1397/01/01,49,42,2
1397/01/01,49,45,3
1397/01/01,49,58,3
1397/01/01,49,63,4
1397/01/01,49,66,12
1397/01/01,49,67,13
1397/01/01,49,70,145
1397/01/01,49,72,3
1397/01/01,49,75,19
1397/01/01,49,76,3
1397/01/01,51,49,2
1397/01/01,51,70,0
1397/01/01,53,49,1
1397/01/01,53,70,36
1397/01/01,55,70,0
1397/01/01,56,10,1
1397/01/01,56,66,1
1397/01/01,56,70,19
1397/01/01,58,10,5
1397/01/01,58,15,3
1397/01/01,58,49,1
1397/01/01,58,66,3
1397/01/01,58,67,0
1397/01/01,58,70,13
1397/01/01,61,70,9
1397/01/01,62,70,8
1397/01/01,63,10,1
1397/01/01,63,15,5
1397/01/01,63,49,7
1397/01/01,63,70,2
1397/01/01,65,70,5
1397/01/01,66,3,13
1397/01/01,66,10,4
1397/01/01,66,15,17
1397/01/01,66,16,1
1397/01/01,66,30,3
1397/01/01,66,37,1
1397/01/01,66,42,11
1397/01/01,66,49,21
1397/01/01,66,58,4
1397/01/01,66,63,1
1397/01/01,66,67,3
1397/01/01,66,70,152
1397/01/01,66,75,5
1397/01/01,66,76,1
1397/01/01,67,10,3
1397/01/01,67,37,1
1397/01/01,67,42,1
1397/01/01,67,49,5
1397/01/01,67,58,0
1397/01/01,67,66,3
1397/01/01,67,70,64
1397/01/01,68,70,1
1397/01/01,70,3,19
1397/01/01,70,4,0
1397/01/01,70,6,26
1397/01/01,70,8,4
1397/01/01,70,10,141
1397/01/01,70,11,43
1397/01/01,70,15,54
1397/01/01,70,16,13
1397/01/01,70,19,1
1397/01/01,70,20,19
1397/01/01,70,22,21
1397/01/01,70,24,19
1397/01/01,70,30,31
1397/01/01,70,32,16
1397/01/01,70,36,1
1397/01/01,70,37,9
1397/01/01,70,41,1
1397/01/01,70,42,49
1397/01/01,70,45,36
1397/01/01,70,47,2
1397/01/01,70,49,170
1397/01/01,70,51,0
1397/01/01,70,53,34
1397/01/01,70,55,0
1397/01/01,70,56,9
1397/01/01,70,58,16
1397/01/01,70,59,1
1397/01/01,70,61,14
1397/01/01,70,62,19
1397/01/01,70,63,2
1397/01/01,70,65,1
1397/01/01,70,66,133
1397/01/01,70,67,44
1397/01/01,70,68,1
1397/01/01,70,72,5
1397/01/01,70,75,24
1397/01/01,70,76,7
1397/01/01,72,70,9
1397/01/01,75,22,2
1397/01/01,75,49,15
1397/01/01,75,70,17
1397/01/01,75,76,3
1397/01/01,76,49,2
1397/01/01,76,66,1
1397/01/01,76,70,14
1397/01/01,76,75,2
1397/01/02,3,15,1
1397/01/02,3,30,13
1397/01/02,3,42,0
1397/01/02,3,49,2
1397/01/02,3,66,10
1397/01/02,3,70,32
1397/01/02,6,49,5
1397/01/02,6,70,17
1397/01/02,8,70,6
1397/01/02,10,11,7
1397/01/02,10,15,3
1397/01/02,10,30,27
1397/01/02,10,42,3
1397/01/02,10,49,15
1397/01/02,10,58,2
1397/01/02,10,63,2
1397/01/02,10,66,11
1397/01/02,10,70,162
1397/01/02,11,10,5
1397/01/02,11,15,4
1397/01/02,11,42,1
1397/01/02,11,49,6
1397/01/02,11,70,44
1397/01/02,13,66,3
1397/01/02,14,70,3
1397/01/02,15,3,2
1397/01/02,15,10,2
1397/01/02,15,11,4
1397/01/02,15,30,2
1397/01/02,15,42,2
1397/01/02,15,49,2
1397/01/02,15,58,4
1397/01/02,15,66,23
1397/01/02,15,70,47
1397/01/02,15,76,1
1397/01/02,16,49,3
1397/01/02,16,70,30
1397/01/02,19,70,2
1397/01/02,20,70,10
1397/01/02,22,42,1
1397/01/02,22,49,4
1397/01/02,22,70,28
1397/01/02,22,75,2
1397/01/02,23,70,1
1397/01/02,24,49,1
1397/01/02,24,66,1
1397/01/02,24,70,43
1397/01/02,30,3,9
1397/01/02,30,10,8
1397/01/02,30,15,4
1397/01/02,30,24,5
1397/01/02,30,37,3
1397/01/02,30,42,6
1397/01/02,30,49,7
1397/01/02,30,50,0
1397/01/02,30,66,4
1397/01/02,30,67,1
1397/01/02,30,70,31
1397/01/02,32,70,12
1397/01/02,37,15,0
1397/01/02,37,24,0
1397/01/02,37,30,2
1397/01/02,37,42,1
1397/01/02,37,49,1
1397/01/02,37,70,6
1397/01/02,37,75,1
1397/01/02,39,49,0
1397/01/02,41,70,2
1397/01/02,42,10,3
1397/01/02,42,11,1
1397/01/02,42,15,1
1397/01/02,42,30,5
1397/01/02,42,37,1
1397/01/02,42,49,7
1397/01/02,42,58,0
1397/01/02,42,63,0
1397/01/02,42,66,14
1397/01/02,42,67,0
1397/01/02,42,70,35
1397/01/02,45,42,0
1397/01/02,45,49,3
1397/01/02,45,66,2
1397/01/02,45,70,51
1397/01/02,47,70,4
1397/01/02,49,1,0
1397/01/02,49,3,3
1397/01/02,49,5,5
1397/01/02,49,6,1
1397/01/02,49,10,10
1397/01/02,49,11,3
1397/01/02,49,15,3
1397/01/02,49,16,1
1397/01/02,49,22,3
1397/01/02,49,24,2
1397/01/02,49,30,5
1397/01/02,49,37,4
1397/01/02,49,39,0
1397/01/02,49,42,7
1397/01/02,49,45,2
1397/01/02,49,51,1
1397/01/02,49,53,1
1397/01/02,49,58,2
1397/01/02,49,63,2
1397/01/02,49,66,8
1397/01/02,49,67,3
1397/01/02,49,70,162
1397/01/02,49,72,2
1397/01/02,49,75,17
1397/01/02,49,76,3
1397/01/02,51,49,1
1397/01/02,51,70,0
1397/01/02,53,49,1
1397/01/02,53,70,35
1397/01/02,55,70,0
1397/01/02,56,70,11
1397/01/02,58,10,2
1397/01/02,58,15,1
1397/01/02,58,42,1
1397/01/02,58,49,2
1397/01/02,58,66,3
1397/01/02,58,67,0
1397/01/02,58,70,11
1397/01/02,59,70,2
1397/01/02,60,70,1
1397/01/02,61,70,13
1397/01/02,62,70,7
1397/01/02,63,10,2
1397/01/02,63,15,4
1397/01/02,63,42,0
1397/01/02,63,49,7
1397/01/02,63,66,3
1397/01/02,63,70,3
1397/01/02,65,70,4
1397/01/02,66,3,5
1397/01/02,66,10,11
1397/01/02,66,15,15
1397/01/02,66,16,1
1397/01/02,66,24,1
1397/01/02,66,30,3
1397/01/02,66,42,12
1397/01/02,66,49,7
1397/01/02,66,58,3
1397/01/02,66,67,2
1397/01/02,66,70,115
1397/01/02,66,75,6
1397/01/02,66,76,2
1397/01/02,67,10,2
1397/01/02,67,15,4
1397/01/02,67,30,2
1397/01/02,67,42,1
1397/01/02,67,49,11
1397/01/02,67,66,5
1397/01/02,67,70,65
1397/01/02,68,70,1
1397/01/02,70,3,21
1397/01/02,70,5,1
1397/01/02,70,6,24
1397/01/02,70,8,4
1397/01/02,70,10,134
1397/01/02,70,11,32
1397/01/02,70,13,1
1397/01/02,70,14,3
1397/01/02,70,15,60
1397/01/02,70,16,19
1397/01/02,70,20,13
1397/01/02,70,22,16
1397/01/02,70,24,15
1397/01/02,70,30,37
1397/01/02,70,32,13
1397/01/02,70,37,13
1397/01/02,70,41,1
1397/01/02,70,42,45
1397/01/02,70,45,45
1397/01/02,70,47,3
1397/01/02,70,49,182
1397/01/02,70,51,0
1397/01/02,70,53,32
1397/01/02,70,55,0
1397/01/02,70,56,11
1397/01/02,70,58,10
1397/01/02,70,59,1
1397/01/02,70,61,7
1397/01/02,70,62,6
1397/01/02,70,63,2
1397/01/02,70,65,3
1397/01/02,70,66,109
1397/01/02,70,67,55
1397/01/02,70,68,1
1397/01/02,70,72,8
1397/01/02,70,75,23
1397/01/02,70,76,11
1397/01/02,72,49,1
1397/01/02,72,70,10
1397/01/02,75,22,5
1397/01/02,75,30,1
1397/01/02,75,37,1
1397/01/02,75,49,14
1397/01/02,75,66,4
1397/01/02,75,70,34
1397/01/02,75,72,0
1397/01/02,75,76,1
1397/01/02,76,15,2
1397/01/02,76,49,9
1397/01/02,76,70,12
1397/01/02,76,75,1
1397/01/03,1,49,0
1397/01/03,3,30,6
1397/01/03,3,42,0
1397/01/03,3,49,3
1397/01/03,3,66,7
1397/01/03,3,70,23
1397/01/03,5,49,2
1397/01/03,5,70,1
1397/01/03,6,70,33
1397/01/03,8,70,4
1397/01/03,10,11,1
1397/01/03,10,15,9
1397/01/03,10,30,12
1397/01/03,10,42,8
1397/01/03,10,49,12
1397/01/03,10,58,3
1397/01/03,10,63,2
1397/01/03,10,66,12
1397/01/03,10,67,2
1397/01/03,10,70,146
1397/01/03,11,10,2
1397/01/03,11,15,5
1397/01/03,11,42,3
1397/01/03,11,49,5
1397/01/03,11,70,42
1397/01/03,13,66,2
1397/01/03,15,3,2
1397/01/03,15,10,2
1397/01/03,15,11,9
1397/01/03,15,30,2
1397/01/03,15,42,5
1397/01/03,15,45,1
1397/01/03,15,49,2
1397/01/03,15,58,3
1397/01/03,15,66,13
1397/01/03,15,70,41
1397/01/03,15,76,1
1397/01/03,16,30,1
1397/01/03,16,49,1
1397/01/03,16,70,26
1397/01/03,20,70,21
1397/01/03,22,49,1
1397/01/03,22,70,28
1397/01/03,24,37,0
1397/01/03,24,49,5
1397/01/03,24,66,2
1397/01/03,24,70,18
1397/01/03,30,3,9
1397/01/03,30,10,26
1397/01/03,30,15,4
1397/01/03,30,16,2
1397/01/03,30,24,5
1397/01/03,30,42,2
1397/01/03,30,49,12
1397/01/03,30,66,2
1397/01/03,30,67,2
1397/01/03,30,70,41
1397/01/03,32,70,21
1397/01/03,37,10,2
1397/01/03,37,42,1
1397/01/03,37,49,3
1397/01/03,37,66,1
1397/01/03,37,70,18
1397/01/03,39,70,5
1397/01/03,41,70,1
1397/01/03,42,3,0
1397/01/03,42,10,1
1397/01/03,42,11,3
1397/01/03,42,15,2
1397/01/03,42,26,0
1397/01/03,42,30,2
1397/01/03,42,37,2
1397/01/03,42,49,3
1397/01/03,42,58,0
1397/01/03,42,66,4
1397/01/03,42,70,33
1397/01/03,45,15,1
1397/01/03,45,49,2
1397/01/03,45,66,1
1397/01/03,45,70,50
1397/01/03,47,70,6
1397/01/03,49,1,0
1397/01/03,49,5,2
1397/01/03,49,6,1
1397/01/03,49,10,9
1397/01/03,49,11,3
1397/01/03,49,15,5
1397/01/03,49,16,4
1397/01/03,49,22,2
1397/01/03,49,24,2
1397/01/03,49,26,0
1397/01/03,49,30,6
1397/01/03,49,37,1
1397/01/03,49,39,0
1397/01/03,49,42,6
1397/01/03,49,45,1
1397/01/03,49,53,1
1397/01/03,49,58,2
1397/01/03,49,63,6
1397/01/03,49,66,7
1397/01/03,49,67,6
1397/01/03,49,70,166
1397/01/03,49,72,1
1397/01/03,49,75,16
1397/01/03,49,76,10
1397/01/03,51,49,1
1397/01/03,51,70,0
1397/01/03,53,70,47
1397/01/03,55,70,0
1397/01/03,56,30,0
1397/01/03,56,49,0
1397/01/03,56,70,15
1397/01/03,58,10,2
1397/01/03,58,15,6
1397/01/03,58,49,2
1397/01/03,58,66,2
1397/01/03,58,67,0
1397/01/03,58,70,20
1397/01/03,59,70,1
1397/01/03,60,70,1
1397/01/03,61,70,14
1397/01/03,62,70,14
1397/01/03,63,10,1
1397/01/03,63,49,6
1397/01/03,63,70,4
1397/01/03,66,3,12
1397/01/03,66,10,6
1397/01/03,66,13,2
1397/01/03,66,15,11
1397/01/03,66,16,1
1397/01/03,66,24,3
1397/01/03,66,30,4
1397/01/03,66,37,4
1397/01/03,66,42,14
1397/01/03,66,45,2
1397/01/03,66,49,9
1397/01/03,66,58,2
1397/01/03,66,63,2
1397/01/03,66,67,5
1397/01/03,66,70,150
1397/01/03,66,75,5
1397/01/03,66,76,1
1397/01/03,67,10,4
1397/01/03,67,30,2
1397/01/03,67,42,1
1397/01/03,67,49,8
1397/01/03,67,58,0
1397/01/03,67,66,2
1397/01/03,67,70,66
1397/01/03,68,70,1
1397/01/03,70,3,19
1397/01/03,70,4,0
1397/01/03,70,5,2
1397/01/03,70,6,17
1397/01/03,70,8,4
1397/01/03,70,10,120
1397/01/03,70,11,40
1397/01/03,70,15,46
1397/01/03,70,16,21
1397/01/03,70,17,1
1397/01/03,70,19,4
1397/01/03,70,20,18
1397/01/03,70,22,26
1397/01/03,70,23,2
1397/01/03,70,24,24
1397/01/03,70,26,0
1397/01/03,70,30,34
1397/01/03,70,32,12
1397/01/03,70,36,1
1397/01/03,70,37,15
1397/01/03,70,39,4
1397/01/03,70,41,1
1397/01/03,70,42,50
1397/01/03,70,45,49
1397/01/03,70,47,5
1397/01/03,70,49,161
1397/01/03,70,51,0
1397/01/03,70,53,46
1397/01/03,70,56,19
1397/01/03,70,58,7
1397/01/03,70,59,2
1397/01/03,70,61,8
1397/01/03,70,62,8
1397/01/03,70,63,5
1397/01/03,70,66,136
1397/01/03,70,67,46
1397/01/03,70,72,9
1397/01/03,70,75,32
1397/01/03,70,76,17
1397/01/03,72,49,5
1397/01/03,72,70,10
1397/01/03,75,22,2
1397/01/03,75,49,12
1397/01/03,75,70,11
1397/01/03,75,76,3
1397/01/03,76,15,1
1397/01/03,76,49,4
1397/01/03,76,70,12
1397/01/03,76,75,4
1397/01/04,3,30,11
1397/01/04,3,42,0
1397/01/04,3,49,2
1397/01/04,3,66,10
1397/01/04,3,70,20
1397/01/04,4,70,0
1397/01/04,6,49,3
1397/01/04,6,70,31
1397/01/04,8,70,6
1397/01/04,10,11,4
1397/01/04,10,15,6
1397/01/04,10,30,21
1397/01/04,10,42,5
1397/01/04,10,49,13
1397/01/04,10,58,6
1397/01/04,10,63,2
1397/01/04,10,66,16
1397/01/04,10,70,173
1397/01/04,11,10,7
1397/01/04,11,15,6
1397/01/04,11,42,1
1397/01/04,11,49,9
1397/01/04,11,70,39
1397/01/04,13,66,2
1397/01/04,15,3,2
1397/01/04,15,10,3
1397/01/04,15,11,7
1397/01/04,15,30,2
1397/01/04,15,42,5
1397/01/04,15,45,2
1397/01/04,15,49,6
1397/01/04,15,58,4
1397/01/04,15,66,15
1397/01/04,15,70,52
1397/01/04,15,76,1
1397/01/04,16,30,3
1397/01/04,16,49,1
1397/01/04,16,66,1
1397/01/04,16,70,27
1397/01/04,17,70,1
1397/01/04,19,70,1
1397/01/04,20,70,19
1397/01/04,22,49,1
1397/01/04,22,70,23
1397/01/04,22,75,7
1397/01/04,23,70,1
1397/01/04,24,30,4
1397/01/04,24,37,0
1397/01/04,24,49,2
1397/01/04,24,66,1
1397/01/04,24,70,29
1397/01/04,30,3,6
1397/01/04,30,10,23
1397/01/04,30,15,7
1397/01/04,30,24,2
1397/01/04,30,37,1
1397/01/04,30,42,4
1397/01/04,30,49,9
1397/01/04,30,66,1
1397/01/04,30,67,2
1397/01/04,30,70,42
1397/01/04,32,70,13
1397/01/04,37,10,2
1397/01/04,37,30,2
1397/01/04,37,49,1
1397/01/04,37,66,2
1397/01/04,37,67,0
1397/01/04,37,70,7
1397/01/04,37,75,1
1397/01/04,39,70,4
1397/01/04,41,70,1
1397/01/04,42,3,0
1397/01/04,42,10,3
1397/01/04,42,11,4
1397/01/04,42,15,3
1397/01/04,42,30,2
1397/01/04,42,37,1
1397/01/04,42,49,2
1397/01/04,42,66,5
1397/01/04,42,67,0
1397/01/04,42,70,33
1397/01/04,45,15,1
1397/01/04,45,49,2
1397/01/04,45,66,1
1397/01/04,45,70,61
1397/01/04,47,70,4
1397/01/04,49,5,7
1397/01/04,49,6,1
1397/01/04,49,10,5
1397/01/04,49,11,4
1397/01/04,49,15,7
1397/01/04,49,16,1
1397/01/04,49,24,1
1397/01/04,49,30,12
1397/01/04,49,37,1
1397/01/04,49,42,4
1397/01/04,49,45,4
1397/01/04,49,51,2
1397/01/04,49,53,1
1397/01/04,49,58,4
1397/01/04,49,63,7
1397/01/04,49,66,14
1397/01/04,49,67,5
1397/01/04,49,70,154
1397/01/04,49,72,1
1397/01/04,49,75,10
1397/01/04,49,76,5
1397/01/04,51,49,5
1397/01/04,51,70,0
1397/01/04,53,49,1
1397/01/04,53,70,47
1397/01/04,55,70,0
1397/01/04,56,30,0
1397/01/04,56,49,0
1397/01/04,56,66,1
1397/01/04,56,70,11
1397/01/04,58,10,5
1397/01/04,58,15,3
1397/01/04,58,42,1
1397/01/04,58,49,2
1397/01/04,58,66,3
1397/01/04,58,67,0
1397/01/04,58,70,17
1397/01/04,61,70,10
1397/01/04,62,70,16
1397/01/04,63,10,1
1397/01/04,63,15,3
1397/01/04,63,49,7
1397/01/04,63,66,4
1397/01/04,63,70,4
1397/01/04,65,70,5
1397/01/04,66,3,11
1397/01/04,66,10,10
1397/01/04,66,13,1
1397/01/04,66,15,20
1397/01/04,66,24,1
1397/01/04,66,30,5
1397/01/04,66,37,3
1397/01/04,66,42,6
1397/01/04,66,45,1
1397/01/04,66,49,14
1397/01/04,66,58,9
1397/01/04,66,63,3
1397/01/04,66,67,3
1397/01/04,66,70,148
1397/01/04,66,75,5
1397/01/04,66,76,1
1397/01/04,67,10,1
1397/01/04,67,15,2
1397/01/04,67,30,1
1397/01/04,67,42,3
1397/01/04,67,49,9
1397/01/04,67,66,3
1397/01/04,67,70,62
1397/01/04,68,70,1
1397/01/04,70,3,19
1397/01/04,70,4,0
1397/01/04,70,5,1
1397/01/04,70,6,17
1397/01/04,70,8,5
1397/01/04,70,10,113
1397/01/04,70,11,42
1397/01/04,70,13,1
1397/01/04,70,14,4
1397/01/04,70,15,46
1397/01/04,70,16,19
1397/01/04,70,19,1
1397/01/04,70,20,17
1397/01/04,70,22,26
1397/01/04,70,23,2
1397/01/04,70,24,22
1397/01/04,70,30,35
1397/01/04,70,32,12
1397/01/04,70,37,13
1397/01/04,70,39,4
1397/01/04,70,41,1
1397/01/04,70,42,50
1397/01/04,70,45,33
1397/01/04,70,47,4
1397/01/04,70,49,161
1397/01/04,70,51,0
1397/01/04,70,53,43
1397/01/04,70,55,0
1397/01/04,70,56,12
1397/01/04,70,58,11
1397/01/04,70,61,11
1397/01/04,70,62,12
1397/01/04,70,63,2
1397/01/04,70,66,127
1397/01/04,70,67,72
1397/01/04,70,72,6
1397/01/04,70,75,25
1397/01/04,70,76,18
1397/01/04,72,70,10
1397/01/04,75,22,3
1397/01/04,75,49,9
1397/01/04,75,66,2
1397/01/04,75,70,26
1397/01/04,75,76,3
1397/01/04,76,15,1
1397/01/04,76,49,6
1397/01/04,76,66,1
1397/01/04,76,70,12
1397/01/04,76,75,2
1397/01/05,1,49,0
1397/01/05,3,30,6
1397/01/05,3,42,0
1397/01/05,3,66,21
1397/01/05,3,70,26
1397/01/05,4,70,0
1397/01/05,5,49,2
1397/01/05,6,49,2
1397/01/05,6,70,40
1397/01/05,8,70,4
1397/01/05,10,11,1
1397/01/05,10,15,7
1397/01/05,10,30,31
1397/01/05,10,42,7
1397/01/05,10,49,15
1397/01/05,10,63,4
1397/01/05,10,66,13
1397/01/05,10,70,159
1397/01/05,11,10,3
1397/01/05,11,15,2
1397/01/05,11,42,1
1397/01/05,11,49,5
1397/01/05,11,70,44
1397/01/05,13,70,4
1397/01/05,14,70,5
1397/01/05,15,3,5
1397/01/05,15,10,2
1397/01/05,15,11,4
1397/01/05,15,30,1
1397/01/05,15,42,5
1397/01/05,15,49,1
1397/01/05,15,58,5
1397/01/05,15,63,2
1397/01/05,15,66,16
1397/01/05,15,70,46
1397/01/05,15,75,0
1397/01/05,16,49,1
1397/01/05,16,70,23
1397/01/05,20,70,16
1397/01/05,22,49,4
1397/01/05,22,70,29
1397/01/05,22,75,5
1397/01/05,23,70,1
1397/01/05,24,30,3
1397/01/05,24,37,0
1397/01/05,24,49,3
1397/01/05,24,66,3
1397/01/05,24,70,28
1397/01/05,30,3,12
1397/01/05,30,10,22
1397/01/05,30,15,3
1397/01/05,30,24,3
1397/01/05,30,37,4
1397/01/05,30,42,2
1397/01/05,30,49,10
1397/01/05,30,56,0
1397/01/05,30,66,4
1397/01/05,30,70,43
1397/01/05,32,70,14
1397/01/05,36,70,1
1397/01/05,37,24,0
1397/01/05,37,30,2
1397/01/05,37,42,2
1397/01/05,37,49,5
1397/01/05,37,70,16
1397/01/05,39,70,6
1397/01/05,41,70,1
1397/01/05,42,3,0
1397/01/05,42,10,9
1397/01/05,42,11,2
1397/01/05,42,15,6
1397/01/05,42,30,1
1397/01/05,42,37,1
1397/01/05,42,45,0
1397/01/05,42,49,5
1397/01/05,42,58,0
1397/01/05,42,66,3
1397/01/05,42,67,0
1397/01/05,42,70,50
1397/01/05,45,42,0
1397/01/05,45,66,4
1397/01/05,45,70,55
1397/01/05,47,70,5
1397/01/05,49,1,0
1397/01/05,49,3,4
1397/01/05,49,5,2
1397/01/05,49,6,1
1397/01/05,49,10,21
1397/01/05,49,11,2
1397/01/05,49,15,4
1397/01/05,49,16,2
1397/01/05,49,22,6
1397/01/05,49,24,1
1397/01/05,49,30,12
1397/01/05,49,37,1
1397/01/05,49,39,0
1397/01/05,49,42,4
1397/01/05,49,45,2
1397/01/05,49,51,1
1397/01/05,49,53,1
1397/01/05,49,56,0
1397/01/05,49,58,5
1397/01/05,49,63,10
1397/01/05,49,66,7
1397/01/05,49,67,2
1397/01/05,49,70,226
1397/01/05,49,72,1
1397/01/05,49,75,16
1397/01/05,49,76,5
1397/01/05,51,49,1
1397/01/05,51,70,0
1397/01/05,53,70,46
1397/01/05,55,70,0
1397/01/05,56,30,0
1397/01/05,56,49,0
1397/01/05,56,66,1
1397/01/05,56,70,16
1397/01/05,58,10,1
1397/01/05,58,15,5
1397/01/05,58,42,1
1397/01/05,58,49,2
1397/01/05,58,66,2
1397/01/05,58,67,0
1397/01/05,58,70,16
1397/01/05,59,70,2
1397/01/05,61,70,10
1397/01/05,62,70,9
1397/01/05,63,10,2
1397/01/05,63,15,5
1397/01/05,63,42,0
1397/01/05,63,49,8
1397/01/05,63,66,2
1397/01/05,63,70,3
1397/01/05,65,70,2
1397/01/05,66,3,12
1397/01/05,66,10,18
1397/01/05,66,15,15
1397/01/05,66,16,1
1397/01/05,66,24,1
1397/01/05,66,30,3
1397/01/05,66,37,3
1397/01/05,66,42,11
1397/01/05,66,45,1
1397/01/05,66,49,14
1397/01/05,66,58,2
1397/01/05,66,63,4
1397/01/05,66,67,7
1397/01/05,66,70,197
1397/01/05,66,75,7
1397/01/05,66,76,1
1397/01/05,67,10,2
1397/01/05,67,30,1
1397/01/05,67,42,1
1397/01/05,67,49,7
1397/01/05,67,58,0
1397/01/05,67,66,7
1397/01/05,67,70,81
1397/01/05,70,3,11
1397/01/05,70,4,0
1397/01/05,70,5,3
1397/01/05,70,6,46
1397/01/05,70,8,3
1397/01/05,70,10,144
1397/01/05,70,11,33
1397/01/05,70,14,7
1397/01/05,70,15,50
1397/01/05,70,16,35
1397/01/05,70,20,9
1397/01/05,70,22,35
1397/01/05,70,23,2
1397/01/05,70,24,29
1397/01/05,70,30,46
1397/01/05,70,31,1
1397/01/05,70,32,9
1397/01/05,70,37,11
1397/01/05,70,39,4
1397/01/05,70,41,1
1397/01/05,70,42,58
1397/01/05,70,45,42
1397/01/05,70,47,3
1397/01/05,70,49,203
1397/01/05,70,51,0
1397/01/05,70,53,30
1397/01/05,70,56,16
1397/01/05,70,58,12
1397/01/05,70,61,26
1397/01/05,70,62,11
1397/01/05,70,63,2
1397/01/05,70,65,1
1397/01/05,70,66,162
1397/01/05,70,67,61
1397/01/05,70,72,8
1397/01/05,70,75,34
1397/01/05,70,76,15
1397/01/05,72,49,2
1397/01/05,72,70,11
1397/01/05,75,22,5
1397/01/05,75,30,1
1397/01/05,75,49,17
1397/01/05,75,66,1
1397/01/05,75,70,30
1397/01/05,75,76,6
1397/01/05,76,15,1
1397/01/05,76,49,5
1397/01/05,76,70,13
1397/01/05,76,75,5
1397/01/06,3,10,0
1397/01/06,3,30,4
1397/01/06,3,49,4
1397/01/06,3,66,7
1397/01/06,3,70,18
1397/01/06,5,49,1
1397/01/06,5,70,3
1397/01/06,6,49,2
1397/01/06,6,70,44
1397/01/06,8,70,7
1397/01/06,10,11,2
1397/01/06,10,15,2
1397/01/06,10,30,21
1397/01/06,10,37,0
1397/01/06,10,42,2
1397/01/06,10,49,21
1397/01/06,10,58,1
1397/01/06,10,63,4
1397/01/06,10,66,21
1397/01/06,10,70,140
1397/01/06,11,10,2
1397/01/06,11,15,4
1397/01/06,11,42,1
1397/01/06,11,49,6
1397/01/06,11,70,52
1397/01/06,12,8,0
1397/01/06,13,66,1
1397/01/06,13,70,1
1397/01/06,14,70,3
1397/01/06,15,3,2
1397/01/06,15,10,6
1397/01/06,15,11,5
1397/01/06,15,30,1
1397/01/06,15,42,3
1397/01/06,15,49,3
1397/01/06,15,63,5
1397/01/06,15,66,10
1397/01/06,15,67,1
1397/01/06,15,70,48
1397/01/06,15,75,0
1397/01/06,16,49,1
1397/01/06,16,66,1
1397/01/06,16,70,42
1397/01/06,20,70,16
1397/01/06,22,49,4
1397/01/06,22,70,38
1397/01/06,22,75,5
1397/01/06,23,70,1
1397/01/06,24,30,3
1397/01/06,24,49,1
1397/01/06,24,66,1
1397/01/06,24,70,36
1397/01/06,26,49,0
1397/01/06,29,10,0
1397/01/06,30,3,3
1397/01/06,30,10,15
1397/01/06,30,15,1
